pattern_angle,step_strip,density_strip,ratio_filler_matrix,density,elasticity_module,number_hardeners,content_epoxy_groups,flash_temperature,surface_density,elasticity_module_stretching,strapery_strength,resin_consumption
0,4.000,57.000,1.857,2030.000,738.737,30.000,22.268,100.000,210.000,70.000,3000.000,220.000
0,4.000,60.000,1.857,2030.000,738.737,50.000,23.750,284.615,210.000,70.000,3000.000,220.000
0,4.000,70.000,1.857,2030.000,738.737,49.900,33.000,284.615,210.000,70.000,3000.000,220.000
0,5.000,47.000,1.857,2030.000,738.737,129.000,21.250,300.000,210.000,70.000,3000.000,220.000
0,5.000,57.000,2.771,2030.000,753.000,111.860,22.268,284.615,210.000,70.000,3000.000,220.000
0,5.000,60.000,2.768,2000.000,748.000,111.860,22.268,284.615,210.000,70.000,3000.000,220.000
0,5.000,70.000,2.570,1910.000,807.000,111.860,22.268,284.615,210.000,70.000,3000.000,220.000
0,7.000,47.000,2.561,1900.000,535.000,111.860,22.268,284.615,380.000,75.000,1800.000,120.000
0,7.000,57.000,3.557,1930.000,889.000,129.000,21.250,300.000,380.000,75.000,1800.000,120.000
0,7.000,60.000,3.532,2100.000,1421.000,129.000,21.250,300.000,1010.000,78.000,2000.000,300.000
0,7.000,70.000,2.920,2160.000,933.000,129.000,21.250,300.000,1010.000,78.000,2000.000,300.000
0,9.000,47.000,2.877,1990.000,1628.000,129.000,21.250,300.000,1010.000,78.000,2000.000,300.000
0,9.000,57.000,1.598,1950.000,827.000,129.000,21.250,300.000,470.000,73.333,2455.556,220.000
0,9.000,60.000,2.920,1980.000,568.000,129.000,21.250,300.000,470.000,73.333,2455.556,220.000
0,9.000,70.000,4.029,1910.000,800.000,129.000,21.250,300.000,470.000,73.333,2455.556,220.000
0,10.000,47.000,2.935,2030.000,302.000,129.000,21.250,300.000,210.000,70.000,3000.000,220.000
0,10.000,57.000,3.557,1880.000,313.000,129.000,21.250,300.000,210.000,70.000,3000.000,220.000
0,10.000,60.000,4.194,1950.000,506.000,129.000,21.250,300.000,380.000,75.000,1800.000,120.000
0,10.000,70.000,4.898,1890.000,540.000,129.000,21.250,300.000,380.000,75.000,1800.000,120.000
0,0.000,0.000,3.532,1980.000,1183.000,111.860,22.268,284.615,1010.000,78.000,2000.000,300.000
90,4.000,47.000,2.877,2000.000,205.000,111.860,22.268,284.615,1010.000,78.000,2000.000,300.000
90,4.000,57.000,1.598,1920.000,456.000,111.860,22.268,284.615,470.000,73.333,2455.556,220.000
90,4.000,60.000,4.029,1880.000,622.000,111.860,22.268,284.615,470.000,73.333,2455.556,220.000
90,4.000,70.000,2.587,1953.275,1136.596,137.627,22.345,234.717,555.893,80.803,2587.343,246.613
90,5.000,47.000,2.500,1942.596,901.520,146.252,23.082,351.232,864.725,76.178,3705.673,226.223
90,5.000,57.000,2.046,2037.632,707.571,101.617,23.146,312.307,547.601,73.817,2624.026,178.199
90,5.000,60.000,1.856,2018.220,836.294,135.402,26.436,327.510,150.961,77.211,2473.187,123.345
90,5.000,70.000,3.306,1917.908,478.286,105.787,17.874,328.155,526.692,72.346,3059.033,275.576
90,7.000,47.000,2.710,1892.071,641.053,96.563,22.989,262.957,804.593,74.511,2288.967,126.816
