"Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,4.000,57.000
0,4.000,60.000
0,4.000,70.000
0,5.000,47.000
0,5.000,57.000
0,5.000,60.000
0,5.000,70.000
0,7.000,47.000
0,7.000,57.000
0,7.000,60.000
0,7.000,70.000
0,9.000,47.000
0,9.000,57.000
0,9.000,60.000
0,9.000,70.000
0,10.000,47.000
0,10.000,57.000
0,10.000,60.000
0,10.000,70.000
0,0.000,0.000
90,4.000,47.000
90,4.000,57.000
90,4.000,60.000
90,4.000,70.000
90,5.000,47.000
90,5.000,57.000
90,5.000,60.000
90,5.000,70.000
90,7.000,47.000
90,7.000,57.000
90,7.000,60.000
90,7.000,70.000
90,9.000,47.000
90,9.000,57.000
90,9.000,60.000
90,9.000,70.000
90,10.000,47.000
90,10.000,57.000
90,10.000,60.000
90,10.000,70.000
0,7.856,64.302
0,7.402,19.251
0,6.676,78.623
0,7.526,38.177
0,8.326,46.045
0,7.656,33.571
0,10.303,39.234
0,8.947,72.085
0,3.747,57.998
0,9.094,44.802
0,6.304,72.152
0,7.258,50.220
0,6.548,74.219
0,6.146,70.355
0,10.051,74.157
0,9.913,71.145
0,5.647,75.952
0,6.255,32.879
0,7.310,63.861
0,5.257,67.183
0,2.303,65.808
0,6.794,47.295
0,6.281,72.293
0,4.985,38.307
0,6.191,31.804
0,7.783,54.634
0,13.199,66.363
0,5.083,50.406
0,10.623,47.550
0,4.796,37.405
0,5.183,79.514
0,7.422,58.239
0,4.546,63.326
0,5.081,62.422
0,8.489,23.898
0,4.568,52.641
0,9.246,40.608
0,11.644,34.930
0,6.845,49.754
0,7.984,51.059
0,4.516,45.967
0,5.764,73.354
0,2.081,58.913
0,8.725,67.012
0,6.581,29.949
0,4.764,70.495
0,6.304,58.402
0,5.593,84.841
0,9.025,55.974
0,10.118,71.595
0,10.992,38.115
0,10.330,64.570
0,7.017,48.668
0,7.534,37.495
0,7.388,45.460
0,11.892,49.362
0,9.196,49.130
0,9.454,38.754
0,1.450,54.989
0,4.402,48.959
0,4.513,46.775
0,7.207,41.388
0,9.593,35.882
0,9.312,71.488
0,0.240,69.153
0,7.860,72.129
0,7.364,69.172
0,10.370,76.170
0,6.708,49.243
0,9.903,45.319
0,3.709,78.380
0,6.583,50.052
0,4.378,84.133
0,9.453,52.392
0,14.051,74.469
0,6.588,34.408
0,5.681,70.745
0,7.191,92.042
0,5.868,59.620
0,6.232,77.140
0,7.568,57.061
0,1.735,67.487
0,5.537,66.849
0,5.136,42.323
0,4.004,35.281
0,4.296,40.238
0,7.007,66.547
0,5.455,32.776
0,7.175,49.161
0,4.930,38.286
0,8.965,66.720
0,2.272,45.714
0,4.488,45.560
0,4.607,66.669
0,6.698,64.798
0,0.311,70.157
0,5.356,40.234
0,6.847,39.271
0,4.646,74.899
0,11.375,51.237
0,5.507,98.203
0,2.512,50.303
0,4.806,67.243
0,7.151,48.316
0,10.129,50.260
0,8.425,40.734
0,11.503,54.591
0,3.194,70.183
0,4.571,78.547
0,4.036,60.330
0,6.575,35.080
0,7.422,60.049
0,7.557,58.733
0,2.271,60.831
0,5.167,47.265
0,8.489,57.849
0,12.045,62.206
0,5.386,39.489
0,1.148,65.945
0,6.782,43.338
0,0.390,51.570
0,5.511,67.615
0,5.903,72.575
0,4.247,28.757
0,10.873,32.195
0,5.665,88.072
0,2.710,71.027
0,6.535,36.682
0,9.338,53.457
0,6.894,86.012
0,4.410,75.628
0,9.626,37.351
0,7.208,35.769
0,5.117,34.782
0,4.549,75.115
0,3.687,44.369
0,4.271,82.724
0,9.349,37.288
0,4.627,52.418
0,3.717,54.606
0,4.904,49.899
0,5.774,65.523
0,9.419,52.512
0,10.322,53.604
0,5.871,73.181
0,5.783,36.911
0,6.969,61.290
0,7.482,36.006
0,3.112,28.662
0,5.477,64.214
0,11.471,35.005
0,6.653,39.235
0,8.147,38.152
0,9.993,92.963
0,6.999,58.986
0,5.871,47.875
0,4.215,55.767
0,1.492,42.239
0,9.501,57.557
0,7.000,56.727
0,11.137,37.407
0,11.832,71.819
0,6.359,57.695
0,7.079,78.179
0,8.905,78.994
0,13.246,77.464
0,8.114,49.064
0,9.138,52.364
0,3.906,50.742
0,9.476,80.469
0,7.522,61.522
0,12.288,73.045
0,7.500,36.039
0,4.004,59.796
0,8.320,56.791
0,3.911,40.356
0,0.145,54.139
0,2.512,75.348
0,13.732,64.510
0,6.378,46.077
0,7.962,63.665
0,5.076,70.980
0,10.751,74.094
0,6.854,45.454
0,5.802,73.541
0,4.229,33.939
0,5.178,47.358
0,6.625,43.354
0,7.088,83.184
0,8.924,72.954
0,6.851,45.148
0,7.589,43.996
0,1.971,67.057
0,12.012,20.572
0,8.120,56.569
0,6.389,76.674
0,9.231,55.859
0,7.181,30.883
0,4.164,62.966
0,6.977,69.071
0,6.423,62.679
0,5.602,74.403
0,4.135,47.408
0,8.281,46.080
0,8.674,66.167
0,8.772,72.417
0,3.641,65.326
0,8.566,85.987
0,6.911,43.908
0,2.438,53.972
0,7.194,54.673
0,9.392,46.008
0,7.110,60.196
0,1.694,69.251
0,7.438,47.627
0,6.385,61.434
0,8.831,55.305
0,5.722,71.173
0,7.181,50.348
0,3.021,56.973
0,2.979,59.874
0,6.307,28.238
0,4.409,53.896
0,10.199,60.632
