pattern_angle,step_strip,density_strip,ratio_filler_matrix,density,elasticity_module,number_hardeners,content_epoxy_groups,flash_temperature,surface_density,elasticity_module_stretching,strapery_strength,resin_consumption
0.000,4.000,60.000,1.857,2030.000,738.737,50.000,23.750,284.615,210.000,70.000,3000.000,220.000
0.000,5.000,47.000,1.857,2030.000,738.737,129.000,21.250,300.000,210.000,70.000,3000.000,220.000
0.000,5.000,57.000,2.771,2030.000,753.000,111.860,22.268,284.615,210.000,70.000,3000.000,220.000
0.000,5.000,60.000,2.768,2000.000,748.000,111.860,22.268,284.615,210.000,70.000,3000.000,220.000
0.000,5.000,70.000,2.570,1910.000,807.000,111.860,22.268,284.615,210.000,70.000,3000.000,220.000
0.000,7.000,47.000,2.561,1900.000,535.000,111.860,22.268,284.615,380.000,75.000,1800.000,120.000
0.000,7.000,57.000,3.557,1930.000,889.000,129.000,21.250,300.000,380.000,75.000,1800.000,120.000
0.000,7.000,60.000,3.532,2100.000,1421.000,129.000,21.250,300.000,1010.000,78.000,2000.000,300.000
0.000,7.000,70.000,2.920,2160.000,933.000,129.000,21.250,300.000,1010.000,78.000,2000.000,300.000
0.000,9.000,57.000,1.598,1950.000,827.000,129.000,21.250,300.000,470.000,73.333,2455.556,220.000
0.000,9.000,60.000,2.920,1980.000,568.000,129.000,21.250,300.000,470.000,73.333,2455.556,220.000
0.000,9.000,70.000,4.029,1910.000,800.000,129.000,21.250,300.000,470.000,73.333,2455.556,220.000
0.000,10.000,47.000,2.935,2030.000,302.000,129.000,21.250,300.000,210.000,70.000,3000.000,220.000
0.000,10.000,57.000,3.557,1880.000,313.000,129.000,21.250,300.000,210.000,70.000,3000.000,220.000
0.000,10.000,60.000,4.194,1950.000,506.000,129.000,21.250,300.000,380.000,75.000,1800.000,120.000
0.000,10.000,70.000,4.898,1890.000,540.000,129.000,21.250,300.000,380.000,75.000,1800.000,120.000
0.000,5.600,46.800,3.532,1980.000,1183.000,111.860,22.268,284.615,1010.000,78.000,2000.000,300.000
90.000,4.000,47.000,2.877,2000.000,205.000,111.860,22.268,284.615,1010.000,78.000,2000.000,300.000
90.000,4.000,57.000,1.598,1920.000,456.000,111.860,22.268,284.615,470.000,73.333,2455.556,220.000
90.000,4.000,60.000,4.029,1880.000,622.000,111.860,22.268,284.615,470.000,73.333,2455.556,220.000
90.000,4.000,70.000,2.587,1953.275,1136.596,137.627,22.345,234.717,555.893,80.803,2587.343,246.613
90.000,5.000,57.000,2.046,2037.632,707.571,101.617,23.146,312.307,547.601,73.817,2624.026,178.199
90.000,5.000,60.000,1.856,2018.220,836.294,135.402,26.436,327.510,150.961,77.211,2473.187,123.345
90.000,5.000,70.000,3.306,1917.908,478.286,105.787,17.874,328.155,526.692,72.346,3059.033,275.576
90.000,7.000,47.000,2.710,1892.071,641.053,96.563,22.989,262.957,804.593,74.511,2288.967,126.816
90.000,7.000,57.000,2.283,2008.358,393.967,149.373,21.662,330.499,535.371,72.245,2704.445,261.077
90.000,7.000,60.000,1.978,1973.629,991.724,149.372,19.751,232.058,485.454,75.666,2448.943,162.494
90.000,7.000,70.000,1.771,1872.492,801.034,79.795,22.296,340.737,864.929,70.948,2796.785,123.356
90.000,9.000,47.000,3.277,2010.047,339.550,67.499,24.281,254.949,117.535,67.479,2462.605,207.019
90.000,9.000,57.000,2.984,1912.315,1183.092,133.549,23.264,314.996,377.389,75.290,2303.771,200.580
90.000,9.000,60.000,2.916,1879.970,1003.270,109.240,25.683,294.049,408.354,71.701,3086.546,192.191
90.000,9.000,70.000,3.248,1813.235,757.874,81.380,23.422,279.080,575.063,69.341,3188.136,252.871
90.000,10.000,47.000,2.424,1908.941,530.229,58.262,24.074,325.139,456.908,74.244,1890.506,222.699
90.000,10.000,60.000,2.444,2085.496,931.311,110.565,23.487,270.287,278.230,71.479,2740.230,187.861
90.000,10.000,70.000,2.668,2078.895,1542.168,132.147,22.650,357.973,787.299,76.472,2559.643,163.903
0.000,7.856,64.302,3.034,1968.401,455.871,61.421,23.491,316.415,637.377,75.090,2848.490,311.052
0.000,7.402,48.622,2.465,1936.099,1056.555,71.294,24.523,271.976,129.077,66.421,2868.587,227.023
0.000,6.676,78.623,2.664,1996.159,525.058,77.507,18.126,223.409,28.658,69.490,2220.587,314.777
0.000,7.526,38.177,1.194,1965.929,899.604,102.959,19.567,225.810,871.089,73.455,2335.542,91.048
0.000,8.326,46.045,2.914,2049.373,382.263,81.352,16.392,233.296,561.992,69.815,2262.784,303.075
0.000,7.656,33.571,4.316,1913.380,822.919,143.577,24.276,274.989,260.859,75.957,1639.913,248.244
0.000,10.303,39.234,2.338,1963.352,1155.161,150.016,18.299,315.904,644.363,71.304,3407.714,304.423
0.000,8.947,72.085,1.298,1984.511,1405.787,130.943,21.829,288.952,161.008,74.681,2526.814,228.868
0.000,3.747,57.998,2.134,1986.349,809.294,95.089,19.365,205.500,196.358,76.340,2459.525,289.957
0.000,9.094,44.802,4.148,1991.790,1250.198,116.856,21.573,320.740,755.501,70.355,1795.719,189.883
0.000,6.304,72.152,3.058,1987.260,403.395,112.720,19.391,336.245,352.832,73.016,2016.504,206.693
0.000,7.258,50.220,4.182,1940.739,347.992,111.970,18.800,304.190,229.928,72.769,2097.669,226.423
0.000,6.548,74.219,1.847,1956.087,622.723,115.710,21.043,236.884,393.395,71.194,2436.274,188.274
0.000,6.146,70.355,1.301,2057.939,939.859,136.324,23.329,292.626,523.847,69.383,2561.545,219.322
0.000,10.051,74.157,3.632,2065.518,553.621,120.696,24.432,308.979,234.162,69.802,2320.819,266.138
0.000,9.913,71.145,3.950,2078.085,578.472,101.985,23.522,263.937,200.971,75.929,2684.394,321.583
0.000,5.647,75.952,4.617,1907.241,854.912,107.634,26.261,294.751,465.510,74.955,2708.092,249.426
0.000,6.255,32.879,4.256,1985.436,481.467,86.258,21.351,240.094,61.318,71.596,3156.300,279.646
0.000,7.310,63.861,4.467,2045.920,707.064,40.305,22.230,239.577,646.074,73.803,2718.505,268.645
0.000,5.257,67.183,3.118,1892.758,968.179,162.465,23.968,260.190,173.813,71.184,2002.044,187.890
0.000,2.303,65.808,2.677,2053.430,259.358,106.195,20.311,300.755,417.143,71.188,2145.016,304.429
0.000,6.794,47.295,3.176,1970.518,724.580,151.417,22.206,313.627,411.447,73.554,2505.325,205.203
0.000,6.281,72.293,2.098,2019.066,1081.413,135.949,21.497,362.877,34.489,74.297,2860.271,186.556
0.000,4.985,38.307,4.795,1917.784,764.787,91.660,22.676,317.474,422.070,69.076,2250.211,321.146
0.000,6.191,31.804,2.562,1956.587,411.160,84.289,26.386,264.964,672.365,70.103,3004.697,194.853
0.000,7.783,54.634,1.705,1993.624,334.893,115.482,24.461,302.348,168.599,73.781,1624.721,283.289
0.000,13.199,66.363,4.414,2014.623,607.062,104.098,20.779,227.513,654.549,77.047,2241.464,281.271
0.000,5.083,50.406,3.453,1868.349,576.504,87.387,23.322,291.339,338.937,73.594,2957.916,228.912
