density,number_hardeners,surface_density,alfa
2030.000,50.000,210.000,42.857
2030.000,129.000,210.000,42.857
2030.000,111.860,210.000,42.857
2000.000,111.860,210.000,42.857
1910.000,111.860,210.000,42.857
1900.000,111.860,380.000,24.000
1930.000,129.000,380.000,24.000
2100.000,129.000,1010.000,25.641
2160.000,129.000,1010.000,25.641
1950.000,129.000,470.000,33.485
1980.000,129.000,470.000,33.485
1910.000,129.000,470.000,33.485
2030.000,129.000,210.000,42.857
1880.000,129.000,210.000,42.857
1950.000,129.000,380.000,24.000
1890.000,129.000,380.000,24.000
1980.000,111.860,1010.000,25.641
2000.000,111.860,1010.000,25.641
1920.000,111.860,470.000,33.485
1880.000,111.860,470.000,33.485
1953.275,137.627,555.893,32.020
2037.632,101.617,547.601,35.548
2018.220,135.402,150.961,32.032
1917.908,105.787,526.692,42.283
1892.071,96.563,804.593,30.720
2008.358,149.373,535.371,37.434
1973.629,149.372,485.454,32.365
1872.492,79.795,864.929,39.420
2010.047,67.499,117.535,36.494
1912.315,133.549,377.389,30.599
1879.970,109.240,408.354,43.047
1813.235,81.380,575.063,45.978
1908.941,58.262,456.908,25.463
2085.496,110.565,278.230,38.336
2078.895,132.147,787.299,33.472
1968.401,61.421,637.377,37.934
1936.099,71.294,129.077,43.188
1996.159,77.507,28.658,31.955
1965.929,102.959,871.089,31.796
2049.373,81.352,561.992,32.411
1913.380,143.577,260.859,21.590
1963.352,150.016,644.363,47.791
1984.511,130.943,161.008,33.835
1986.349,95.089,196.358,32.218
1991.790,116.856,755.501,25.524
1987.260,112.720,352.832,27.617
1940.739,111.970,229.928,28.826
1956.087,115.710,393.395,34.220
2057.939,136.324,523.847,36.919
2065.518,120.696,234.162,33.249
2078.085,101.985,200.971,35.354
1907.241,107.634,465.510,36.130
1985.436,86.258,61.318,44.085
2045.920,40.305,646.074,36.835
1892.758,162.465,173.813,28.125
2053.430,106.195,417.143,30.132
1970.518,151.417,411.447,34.061
2019.066,135.949,34.489,38.498
