pattern_angle,step_strip,density_strip,ratio_filler_matrix,density,elasticity_module,number_hardeners,content_epoxy_groups,flash_temperature,surface_density,elasticity_module_stretching,strapery_strength,resin_consumption
0,7.8561664,64.30196,2.5873477,1953.2749,1136.5962,137.62743,22.344534,234.71689,555.89343,80.80322,2587.343,246.61311
0,6.6757803,78.6233,2.0464714,2037.6318,707.57086,101.61725,23.146393,312.30722,547.6012,73.81707,2624.0264,178.19856
0,7.526398,38.176975,1.8564762,2018.2203,836.2944,135.4017,26.435514,327.51038,150.96144,77.21076,2473.1873,123.34456
0,8.325699,46.04543,3.3055353,1917.9075,478.28625,105.78693,17.8741,328.15457,526.69214,72.34571,3059.033,275.57587
0,7.656211,33.571022,2.7095542,1892.0712,641.05255,96.56329,22.98929,262.95673,804.5926,74.51136,2288.9673,126.81634
0,10.302945,39.23428,2.2828252,2008.3575,393.96732,149.37283,21.66175,330.49863,535.37146,72.24493,2704.445,261.07706
0,8.946891,72.084595,1.9781401,1973.6292,991.7241,149.37213,19.750578,232.0582,485.45377,75.6657,2448.943,162.4937
0,3.746625,57.997772,1.7714363,1872.4916,801.0339,79.79455,22.296303,340.7369,864.9292,70.94759,2796.7854,123.35626
0,9.094363,44.8016,3.277087,2010.047,339.5504,67.49899,24.28061,254.94908,117.53523,67.47871,2462.6055,207.01859
0,6.303773,72.152016,2.9843621,1912.3154,1183.0918,133.549,23.263796,314.99612,377.389,75.29045,2303.7708,200.58025
0,7.2579618,50.219837,2.9161496,1879.9698,1003.2702,109.23953,25.68276,294.04852,408.35425,71.70086,3086.5461,192.19116
0,6.5479927,74.21888,3.2476172,1813.2346,757.87445,81.37987,23.422464,279.08017,575.06287,69.34113,3188.1365,252.87057
0,6.1461253,70.35541,2.4238756,1908.9406,530.2287,58.262413,24.07355,325.1387,456.90805,74.244354,1890.5059,222.6995
0,10.050718,74.15666,5.0989933,1977.339,1572.0961,132.34306,25.397001,286.55643,690.3648,72.34164,1386.579,271.9014
0,9.912526,71.14481,2.444177,2085.4958,931.3106,110.56484,23.48714,270.28677,278.23,71.47906,2740.2297,187.86137
0,5.6469145,75.95231,2.667697,2078.8948,1542.1685,132.1474,22.650108,357.9729,787.2992,76.47179,2559.643,163.90277
0,6.255058,32.87874,3.0343995,1968.4014,455.87103,61.421295,23.490723,316.41458,637.3769,75.09037,2848.49,311.0524
0,7.3104377,63.861305,2.465205,1936.0991,1056.5549,71.29406,24.52338,271.97568,129.07716,66.42079,2868.5864,227.02255
0,5.256899,67.18306,2.6643887,1996.1592,525.0578,77.50688,18.126106,223.40869,28.658102,69.48978,2220.5874,314.77667
0,2.3026552,65.80765,1.1935296,1965.9292,899.6037,102.95907,19.566717,225.81023,871.0889,73.4547,2335.5417,91.047646
0,6.7936773,47.294983,2.9143333,2049.3733,382.26337,81.35205,16.391594,233.29607,561.9921,69.81461,2262.7844,303.07544
0,6.28115,72.29288,4.3156657,1913.3796,822.91876,143.57693,24.275589,274.9888,260.85934,75.95733,1639.9125,248.24432
0,4.9850836,38.307343,2.3384242,1963.3516,1155.1605,150.01582,18.299421,315.90417,644.36316,71.30399,3407.7136,304.42328
0,6.1913304,31.804142,1.2981672,1984.5114,1405.7869,130.9428,21.82924,288.9521,161.00772,74.680916,2526.8142,228.86772
0,7.7827115,54.633816,2.1344461,1986.349,809.2938,95.08902,19.364925,205.49976,196.35764,76.34021,2459.5244,289.95715
0,13.199007,66.36302,4.1479664,1991.7898,1250.1982,116.85646,21.573265,320.74017,755.50055,70.35546,1795.7194,189.8833
0,5.0828557,50.40585,3.05783,1987.2599,403.39523,112.719826,19.39051,336.2454,352.83197,73.01649,2016.5037,206.69337
0,10.622887,47.54977,4.1821284,1940.7393,347.99176,111.96977,18.800283,304.1905,229.92833,72.76947,2097.6694,226.42264
0,4.795862,37.404762,1.8469231,1956.0873,622.7228,115.70972,21.043318,236.88367,393.39545,71.194405,2436.2737,188.27412
0,5.182935,79.51407,1.301025,2057.9392,939.859,136.32397,23.329271,292.6257,523.8472,69.382866,2561.5447,219.32198
0,7.4217043,58.238503,3.631935,2065.5178,553.6209,120.69588,24.431894,308.97858,234.16167,69.80219,2320.8186,266.1383
0,4.5459247,63.325703,3.9503517,2078.0852,578.4722,101.985374,23.52157,263.9368,200.97096,75.92943,2684.394,321.5832
0,5.0813575,62.422134,4.6169896,1907.2408,854.91187,107.633965,26.260992,294.75076,465.51044,74.95514,2708.0923,249.42557
0,8.48906,48.92289,4.2563763,1985.4363,481.467,86.25805,21.351044,240.0938,61.317856,71.59603,3156.3,279.64645
0,4.5684624,52.640575,4.4673505,2045.92,707.0641,40.304806,22.230347,239.57687,646.0742,73.80296,2718.5051,268.64456
0,9.245585,40.6081,3.1181762,1892.7578,968.1792,162.46545,23.967543,260.1899,173.8128,71.18356,2002.044,187.89017
0,11.644049,34.929573,2.6765645,2053.4297,259.35773,106.19544,20.311338,300.75458,417.14328,71.18755,2145.0159,304.42886
0,6.8450365,49.753857,3.1757648,1970.5182,724.57983,151.41669,22.206367,313.6272,411.44678,73.55437,2505.3254,205.2028
0,7.9841456,51.05887,2.0977464,2019.0659,1081.4127,135.94928,21.497303,362.87735,34.488907,74.2967,2860.271,186.55566
0,4.5164995,45.96728,4.7947106,1917.7836,764.7871,91.6603,22.67639,317.47366,422.07025,69.076256,2250.2112,321.1459
0,5.764377,73.35352,2.5619173,1956.5872,411.1602,84.28892,26.38586,264.96387,672.365,70.1029,3004.6965,194.85306
0,2.0812943,58.913322,1.7051938,1993.6241,334.8934,115.48232,24.461134,302.3485,168.59906,73.78118,1624.7206,283.289
0,8.725437,67.01171,4.414161,2014.6233,607.06165,104.09786,20.778635,227.5133,654.5488,77.046585,2241.4636,281.27094
0,6.581173,29.949072,3.4528213,1868.3488,576.50366,87.38693,23.322422,291.33908,338.93713,73.59382,2957.9155,228.91173
0,4.7642293,70.495155,2.6819406,1843.1826,1185.9932,106.82381,19.3327,320.363,75.24002,71.215034,3377.3281,92.44787
0,6.30425,58.401974,3.1200216,2042.2803,600.7696,88.41301,23.085423,280.6432,324.2794,69.52602,2164.389,138.22472
0,5.592613,84.84089,3.725152,2009.3987,962.7742,148.31639,16.869669,289.23618,398.91983,69.20464,1337.4247,172.54927
0,9.02512,55.97386,2.0012338,2008.3107,53.58228,111.25928,22.785076,309.5798,887.0943,72.48655,2835.571,141.59842
0,10.11775,71.5947,2.5388687,1929.6775,1143.7871,161.55774,22.725195,303.5301,894.3549,75.3211,1934.316,131.9222
0,10.991703,38.1154,4.180911,2068.2673,844.9056,117.85724,18.03959,347.60843,404.64594,69.6004,3134.1035,219.99535
0,10.330215,64.56999,3.1266606,1985.3763,1039.386,122.027954,22.687765,247.09068,202.39525,67.64806,1780.6313,198.68579
0,7.0166225,48.667645,2.3933556,2053.9282,710.8519,134.95755,22.13045,304.833,361.10635,72.04744,2802.178,234.20891
0,7.534357,37.495136,1.9400214,1969.6237,1251.7899,92.41933,22.244669,291.93573,565.33954,69.1816,2757.1304,211.91263
0,7.388167,45.459778,2.9658117,1952.018,105.154465,104.48668,23.898727,308.474,808.8063,75.825485,1400.3579,300.49963
0,11.89177,49.361683,4.4331756,1949.4546,638.9398,114.52837,25.79883,281.11438,293.44446,76.83607,2331.4695,147.00706
0,9.19645,49.130188,2.8968358,1929.5201,386.79318,147.30432,22.529385,306.8542,207.52116,69.094185,1869.9801,138.96771
0,9.45435,38.75421,2.526208,1990.6252,469.69214,107.58175,25.126495,325.15887,451.86438,71.7099,2004.9327,195.97859
0,6.654664,54.988934,3.7116756,1835.946,1312.2665,115.49539,24.167631,259.2582,7.095354,75.063225,2840.9348,228.50865
0,4.4022474,48.959084,3.437193,1878.494,1129.2518,142.13075,24.534357,246.80936,489.98828,71.43138,2010.3344,156.26337
0,4.5128255,46.775467,2.9525263,2014.7552,971.08,99.75799,20.208635,297.14694,574.7861,69.93396,2902.5093,244.03548
0,7.2066145,41.388435,2.9033048,2019.6011,278.10672,96.04527,19.715324,303.81876,1021.6101,77.97656,1604.1445,241.31836
0,9.593465,35.881603,4.45712,2017.2045,980.1892,99.67503,25.72245,292.10168,300.2602,73.78283,2546.352,192.1589
0,9.312463,71.48782,1.0443615,1948.3953,1072.0104,126.02769,21.344915,356.5307,221.23366,69.345375,2436.6914,172.96967
0,6.340625,69.15335,2.5271022,2021.8564,881.13715,132.65352,22.447283,255.19095,194.04974,72.27118,3214.535,220.5579
0,7.860397,72.12923,3.3194234,2075.2212,78.91432,140.93896,24.370476,261.48694,1013.0296,74.27355,2044.0436,301.76575
0,7.3635993,69.17234,3.8583946,1873.6301,981.8632,102.429375,19.839592,244.80238,876.8275,75.97149,1913.0493,192.19737
0,10.370041,76.169655,2.1436167,1924.8649,957.3783,116.753624,21.978813,334.33307,679.9502,67.026505,2133.591,111.056526
0,6.7075224,49.242832,2.0413523,1967.0375,457.1272,131.21548,21.845144,341.4127,812.62933,76.001526,2573.6326,239.24127
0,9.90309,45.31943,3.552418,1986.5525,818.1352,102.61496,17.751532,256.33594,414.21265,72.51375,2427.7268,277.7469
0,3.7085152,78.380005,4.271977,1876.1681,560.96094,63.511845,26.03909,289.49432,237.68817,76.43984,2155.8623,188.75682
0,4.3783064,84.13278,3.8334053,1921.9176,1343.6008,126.91915,21.24537,303.84293,49.97576,70.67869,3077.8694,208.92944
0,9.453269,52.39167,2.6077642,2009.0343,250.54707,79.34685,21.874256,206.00513,550.1024,74.37087,2018.1782,174.34976
0,6.587914,34.407936,2.1485577,1978.5531,905.1153,144.1601,21.01562,313.02347,355.29144,69.56064,3277.661,175.90163
0,5.867705,59.620426,3.1078854,1988.302,177.0345,52.074364,16.977083,292.07297,793.8341,75.102745,2371.373,172.99571
0,6.2323194,77.14036,3.991633,1881.6165,663.33295,123.506165,28.324968,220.2256,363.12802,71.81461,2323.7122,314.69885
0,7.5677233,57.061356,2.3191664,1825.9525,901.70825,112.55632,20.435556,278.429,495.4834,72.325584,2401.5222,128.47191
0,1.7347441,67.48731,2.4034276,2018.9591,634.08356,59.174652,22.501118,318.1924,108.44823,69.11576,2363.2944,222.30731
0,5.537032,66.84853,2.6839287,1996.672,1071.21,100.701485,23.149168,288.75824,358.35104,69.84224,2446.5686,154.43954
0,4.003623,35.281376,5.1107807,1961.3964,1074.1313,112.32643,27.707682,266.74368,695.846,71.52651,2381.19,280.5321
0,4.2958565,40.237717,4.1780667,1932.755,723.7833,108.04547,19.475397,227.65594,82.21705,78.14331,3307.2444,202.92847
0,7.007242,66.54694,3.6486926,2008.2693,962.2784,119.50972,18.217981,303.84012,12.040487,73.38964,2684.3125,207.34557
0,5.454578,32.77625,3.4901617,1986.3401,1257.779,93.74855,24.593271,338.10135,76.68269,76.17938,2605.9497,261.81946
0,7.174728,49.160637,3.6151814,1868.4126,800.34906,149.27457,21.775272,282.26566,89.07407,74.17009,2543.2368,156.38548
0,4.9296036,38.285706,2.9198887,1910.9314,556.7891,136.62866,21.593174,323.79633,339.27332,68.18751,2331.692,189.32921
0,8.964877,66.71974,3.108043,1879.0007,1106.8258,157.07649,17.089228,305.65863,1227.243,72.62521,1529.6044,208.9452
0,2.2717543,45.71381,3.1534042,2019.5521,1063.7428,146.03595,23.695911,295.7317,822.31165,70.64875,2700.6653,194.23866
0,4.487836,45.560074,3.7845337,2080.4363,818.58496,147.90897,23.093716,270.1435,764.94916,74.79132,2368.1028,149.08456
0,4.6073303,66.66876,3.660787,2125.2063,856.3797,120.193115,21.546764,224.65747,270.45764,69.702995,2953.3667,132.0565
0,6.6978383,64.79802,4.136691,1944.5183,589.64685,102.34914,19.580547,247.74498,371.24765,80.07536,2588.9812,346.27618
